上位のページ,クリック数,表示回数,CTR,掲載順位
https://www.dearmanga.com/slice-of-life/super-cub,0,8,0%,17.38
https://www.dearmanga.com/action/spirit-circle,0,8,0%,17.75
https://www.dearmanga.com/romance/fruits-basket-another,0,8,0%,22.62
https://www.dearmanga.com/horror/spiral-the-bonds-of-reasoning,0,8,0%,25.38
https://www.dearmanga.com/sports/hikaru-no-go,0,8,0%,28.25
https://www.dearmanga.com/fantasy/dungeon-meshi,0,8,0%,29.12
https://www.dearmanga.com/slice-of-life/wandering-son,0,8,0%,29.25
https://www.dearmanga.com/fantasy/overlord,0,8,0%,30.25
https://www.dearmanga.com/slice-of-life/spy-x-family,0,8,0%,34.62
https://www.dearmanga.com/action/black-lagoon,0,8,0%,36.88
https://www.dearmanga.com/romance/my-first-girlfriend-is-a-gal,0,8,0%,38.62
https://www.dearmanga.com/action/soul-eater,0,8,0%,48.88
https://www.dearmanga.com/action/angel-heart,0,7,0%,4.57
https://www.dearmanga.com/horror/ushiro-no-hyakutarou,0,7,0%,4.71
https://www.dearmanga.com/slice-of-life/baby-and-me,0,7,0%,5.43
https://www.dearmanga.com/sports/play-ball,0,7,0%,6.29
https://www.dearmanga.com/romance/strawberry-100,0,7,0%,6.86
https://www.dearmanga.com/sci-fi/three-eyed-one,0,7,0%,7
https://www.dearmanga.com/sci-fi/tokyo-esp,0,7,0%,7.14
https://www.dearmanga.com/action/patalliro,0,7,0%,7.29
https://www.dearmanga.com/fantasy/esper-mami,0,7,0%,8
https://www.dearmanga.com/sci-fi/wolf-children,0,7,0%,8.14
https://www.dearmanga.com/sports/ping-pong,0,7,0%,9.57
https://www.dearmanga.com/romance/fullmoon-wo-sagashite,0,7,0%,9.86
https://www.dearmanga.com/slice-of-life/makoto-chan,0,7,0%,9.86
https://www.dearmanga.com/action/kingdom,0,7,0%,10.43
https://www.dearmanga.com/fantasy/high-school-dxd,0,7,0%,12.57
https://www.dearmanga.com/romance/we-married-as-a-job,0,7,0%,13.14
https://www.dearmanga.com/action/black-rock-shooter,0,7,0%,20.43
https://www.dearmanga.com/action/7th-garden,0,7,0%,26.14
https://www.dearmanga.com/sci-fi/tenchi-muyo,0,7,0%,27.43
https://www.dearmanga.com/action/sukeban-deka,0,7,0%,31.71
https://www.dearmanga.com/romance/yankee-kun-megane-chan,0,7,0%,38.14
https://www.dearmanga.com/slice-of-life/osomatsu-kun,0,7,0%,38.57
https://www.dearmanga.com/sci-fi/gundam-the-origin,0,7,0%,45.29
https://www.dearmanga.com/romance/bokura-ga-ita,0,7,0%,46.86
https://www.dearmanga.com/action/mha-vigilantes,0,7,0%,49.43
